Nom_du_POI;LAT;LONG;Adresse_postale;Code_postal;Commune
Itinéraire découverte autour de Franconville;48,50036625;6,45162844;Rue de l'église;54830;Franconville
Circuit de Viombois;48,45872080;6,84776170;1 Avenue de la Mairie-Ecole Départ de la Mairie;54540;Neufmaisons
Base Nautique de Floiras;44,47643760;1,19943380;Camping de Floiras 173 Chemin du port de juillac;46140;Anglars-Juillac
Circuit du Guten Brunnen;49,07248204;6,87966207;Rue du Moulin Chapelle de Bonne Fontaine;57510;Hoste
Sentier de la forêt enchantée;48,33522000;6,06078000;Cimetière;88500;Juvaincourt
Sentier du menu bois;48,33522000;6,06078000;Cimetière;88500;Juvaincourt
Circuit des fontaines;48,44927650;6,74079250;Départ de la Maison du Tourisme 5 rue des Cristalleries;54120;Baccarat
Circuit des remparts de Deneuvre;48,44641551;6,73498874;32 Grande Rue Mairie de Deneuvre;54120;Deneuvre
Promenade 3 Flin de la chapelle à la forêt de Mondon;48,49729500;6,65514900;Rue des Vosges Départ de la chapelle de Ménil-Flin;54122;Flin
Campagne Sentier d'interprétation n°1;44,90574100;0,96487700;Parking de la forêt;24260;Campagne
Campagne Sentier d'interprétation n°1;44,90574100;0,96487700;Parking de la forêt;24260;Campagne
Balade autour de Rozelieures;48,45057214;6,43458548;Grande rue;54290;Rozelieures
Itinéraire découverte autour de Fraimbois;48,52943428;6,54223350;Rue de l'église;54300;Fraimbois
Circuit pédestre - sentier du léomont;48,60391154;6,45608754;N4 - D97 - Chemin de Friscati Nécropole Nationale de Friscati;54300;Vitrimont
Boucle de Cadouin;44,81229690;0,87066843;Place de l'abbaye;24480;Le Buisson-de-Cadouin
Le Sentier des paysages de Cadouin;44,81229690;0,87066843;Place de l'abbaye;24480;Le Buisson-de-Cadouin
Kalapca Loisirs - VTT, Randonnée, Course orientation;44,47857050;1,65070906;Conduché 25 route du Confluent;46330;Bouziès
Activités by Sogestar : Activités nordiques et base nautique;46,48304830;6,06138129;495 rue Pasteur;39220;Les Rousses
Sentier des luthiers et dentellières;48,29882000;6,13552600;Place Thierry;88500;Mirecourt
Sentier des écoliers : fermeture temporaire;48,30031000;6,13647000;Place Thierry;88500;Mirecourt
Sentier des trois fontaines;48,32224000;6,14648000;Rue de l'Église;88500;Mazirot
Sentier du madon;48,34776400;6,14390000;15 rue de la Côté;88500;Ambacourt
Circuit du haut de Halmoze;48,57886767;7,08117495;Col de Halmoze;57560;Turquestein-Blancrupt
Circuit du lavoir de Baerenloch;48,67490451;7,20433050;Schaeferhof Place du Berger;57850;Dabo
Circuit historique;49,20549655;6,69591041;Hôtel de Ville Rue de Carling;57150;Creutzwald
Balade randoland à Creutzwald;49,20512863;6,69622755;Hôtel de Ville Rue de Carling;57150;Creutzwald
Circuit de la Rosselle;49,17319860;6,85666505;Aire de Guensbach;57600;Morsbach
Itinéraire cyclable du Herapel;49,17326950;6,85706270;Aire de Guensbach;57600;Morsbach
Circuit - cascade du rudlin - gazon du faing;48,11939246;7,04199272;Le Rudlin Étang des Dames;88230;Plainfaing
Circuit - le champ de roches (grand circuit);48,17266213;6,88108512;Place de l'église;88430;Corcieux
Circuit - la vierge de hennefête - le champ d'evraux;48,17268359;6,88108512;Place de l'église;88430;Corcieux
Circuit - le bas de la cloche  - ruxurieux;48,17266928;6,88106367;Place de l'église;88430;Corcieux
Circuit - ruxurieux - le champ d'evraux;48,17267644;6,88109585;Place de l'église;88430;Corcieux
Circuit - les balcons de Corcieux;48,17262635;6,88106367;Place de l'église;88430;Corcieux
Circuit - vichibure - la folie;48,17264066;6,88112804;Place de l'église;88430;Corcieux
Circuit - la folie - la croix de l'ormeau;48,17266213;6,88113877;Place de l'église;88430;Corcieux
Circuit du château;48,73497228;7,25129355;21 rue de la Zorn;57820;Lutzelbourg
Boucle cyclotouristique - la voie de la 2ème db des Vosges;48,22070312;6,24443353;Rue Maréchal Leclerc;88270;Madonne-et-Lamerey
Sentier de victor hugo;48,30846335;6,08313334;Église;88500;Domvallier
Sentier du GR 507 de Villers à Domjulien;48,30208340;6,17150676;Place du Monuments aux morts;88500;Villers
Sentier de Sainte-Menne;48,33377133;6,09788814;Rue Sainte Menne;88500;Puzieux
Boucle de la Peyre Dermale;45,34838160;0,53963346;Le bourg;24310;Paussac-et-Saint-Vivien
Boucle de la Peyre Dermale;45,34838160;0,53963346;Le bourg;24310;Paussac-et-Saint-Vivien
Circuit des 2 villages sur un plateau;49,15475690;6,92100000;Impasse des Jardins Rue de Gaubiving;57600;Folkling
Les balcons de la Nied;49,24146709;6,46834463;Route de Bockange;57220;Gomelange
La fontaine à lions;49,15027780;6,27784699;Point Info Randonnée;57640;Servigny-lès-Sainte-Barbe
Circuit des dix;48,16809690;6,45581940;Rue des soupirs;88000;Épinal
Circuit des grands bois;48,17918708;6,49788200;Route de Gerardmer 200 m aprés la dechetterie;88000;Épinal
Circuit aller Epinal-bouzey;48,18502520;6,44460800;Port de plaisance;88000;Épinal
Circuit découverte de Stenay : les anciens remparts;49,49079231;5,18344825;Rue du Port Capitainerie;55700;Stenay
Circuit découverte de Stenay : au coeur de la ville;49,49092384;5,18334856;Rue du Port Capitainerie;55700;Stenay
LE SENTIER SOUS-MARIN;43,27495980;3,51198208;Rue de l'Estacade La Plagette - Vieux port;34300;Agde
Espace Eau Vive de l'Isle de la Serre;45,85028900;5,41256300;Chemin de l'Isle de la Serre;38390;Porcieu-Amblagnieu
Circuit des tuileries;48,21155310;6,57250300;prés des écoles Rue du Chaudfour;88600;Aydoilles
Circuit Chaumousey;48,16692200;6,35989200;Camping du lac;88390;Sanchey
Circuit de Domèvre;48,23025820;6,33735490;Eglise;88390;Domèvre-sur-Avière
Circuit d'Uxegney;48,23025820;6,33735490;Eglise;88390;Domèvre-sur-Avière
Base nautique de Montbozon (Plein Air et Nautisme);47,46659790;6,25911080;Rue du pont BASE TOURISTIQUE ET DE PLEIN AIR;70230;Montbozon
Champ'ânes;48,55499420;4,65046626;8 place de l'église;51290;Outines
Base de loisirs du Pays de Montbéliard;47,52983100;6,85652392;Rue de Pâquis;25600;Brognard
Circuit des moulins;49,17134175;6,96279459;Rue du Stade;57460;Kerbach
Circuit des jardins fruitiers;49,07580100;6,30684300;Rue Bourger et Perrin;57530;Laquenexy
Vélo Taxi Bikes;46,99122000;3,16098250;Vélos Touk-Touk;58000;Nevers
Vélo Taxi Bikes;46,99122000;3,16098250;Vélos Touk-Touk;58000;Nevers
Circuit des bois du sanglier;49,12362826;7,14600817;Rue du Val de Blies;57200;Blies-Ébersing
Sur les pas des comtes;49,13785452;7,12542347;Rue du cimetière;57200;Frauenberg
Paysages de la Blies;49,15418800;7,10190587;Rue des écoles Arboretum;57200;Blies-Guersviller
Circuit de la Feigne orientale;48,19629060;6,52271610;suivre tennis 17 Rue René Gaire;88000;Deyvillers
Circuit St Arnould;48,19629060;6,52271610;suivre tennis 17 Rue René Gaire;88000;Deyvillers
Circuit de Bertramenil étang du Bult;48,14745320;6,44720940;Saint Laurent 1 Rue de la Dévallée;88000;Épinal
Circuit coteaux de St Laurent;48,14745320;6,44720940;Saint Laurent 1 Rue de la Dévallée;88000;Épinal
Circuit du fort de Girancourt;48,16713600;6,33716800;Route de l'Abbaye parking les champs de la corvée;88390;Sanchey
Boucle bezange-la-grande;48,74625380;6,47424280;2 Grande rue;54370;Bezange-la-Grande
Combe Saint-Pierre - Hiver;47,20114350;6,84113502;La Combe St Pierre;25140;Charquemont
La voie de 60;49,22254732;6,38364806;parking Saint-Michel;57640;Saint-Hubert
La voie de 60 en VTT;49,22254732;6,38364806;parking Saint-Michel;57640;Saint-Hubert
Les dames Dadas;49,18595953;6,49877509;Rue de Sarrelouis;57220;Boulay-Moselle
Circuit de la Nied allemande;49,10473129;6,83851122;Rue de l’abbé Touba;57450;Cappel
Gr du pays de la deodatie - boucle nord;48,28198950;6,94853930;Gare de Saint-Dié-des-Vosges;88100;Saint-Dié-des-Vosges
Gr du pays de la deodatie - boucle sud;48,28198950;6,94853930;Gare de Saint-Dié-des-Vosges;88100;Saint-Dié-des-Vosges
OENORANDO® DE NOTRE-DAME DE NAZARETH;43,42006860;2,94564529;Rue de la Promenade;34360;Saint-Chinian
Circuit des rives du mouzon;48,35344373;5,70061897;Parking des Maronniers;88300;Neufchâteau
Circuit d'Oeutrange - bois de la côte;49,39960910;6,10357150;Parking Place de la Mairie annexe Place Saint-Luc;57100;Thionville
Parcours vélo - vae 56 km;48,20245264;5,94226522;36 place de la Marne Office de Tourisme de Vittel;88800;Vittel
Parcours vélo - vae 24 km;48,20250270;5,94311280;36 place de la Marne Office de Tourisme de Vittel;88800;Vittel
Parcours vélo - vae 13km - Vittel-Contrexéville;48,20250270;5,94311280;36 place de la Marne Office de Tourisme de Vittel;88800;Vittel
Parcours vélo - vae 43 km;48,20243119;5,94237251;36 place de la Marne Office de Tourisme de Vittel;88800;Vittel
Parcours vélo - vae 35 km;48,20245479;5,94247726;36 place de la Marne Office de Tourisme de Vittel;88800;Vittel
La Voie Verte des Hautes Vosges à Cornimont;47,95695740;6,82619340;5 Quai de la Gare Départ de la Voie Verte des Hautes Vosges;88310;Cornimont
Promenade linéaire Thionville - Bellevue;49,36031930;6,16213110;Place de la liberté Parking Théâtre municipal;57100;Thionville
Circuit du bois de Thionville;49,38445760;6,12272590;Parcours De Santé d'Elange, D14A Parking Centre de loisirs forestiers;57100;Thionville
Circuit du Babert;49,39921432;6,10196068;Parking Mairie annexe de Oeutrange Rue du 70E Ra;57100;Thionville
Boucle du Hostert;49,37183305;6,19311639;Chemin du stade Parking Stade de football Thionville-Garche;57100;Thionville
Balade à Roulettes n°8 : Le stade d'eaux vives de Pau;43,28625600;-0,36014800;12 Rue du Professeur Garigou Lagrange;64000;Pau
Balade à Roulettes n°5 L'espace naturel du lac de Castet;43,05793700;-0,42278100;12 Rue du Professeur Garigou Lagrange;64000;Pau
PASSA MERIDIA N° 25 - FERRALS LES MONTAGNES/CAUNES-MINERVOIS;43,40224630;2,63160366;ROUTE DE LA MONTAGNE NOIRE;34210;Ferrals-les-Montagnes
ESPACE VTT FFC 138 - CIRCUIT N° 19 : DE LA CAVE AU MOULIN;43,38506480;3,47177401;Avenue de pomérols;34510;Florensac
La Vézère à vélo, itinéraire cyclable des Eyzies à Coly-Saint - Amand;44,93607260;1,01315950;28 avenue de la Forge Communauté de communes Vallée de l'Homme;24620;Les Eyzies
Balade ludique randoland à Cornimont;47,96217190;6,83751700;27 Rue de la 3ème DIA Bureau d'Information Touristique de Cornimont;88310;Cornimont
Boucle des mines et des carrières;45,36313940;0,96799809;Le Bourg;24160;Saint-Jory-las-Bloux
Boucle de l'eau et de la forêt enchantée;45,36313940;0,96799809;Le Bourg;24160;Saint-Jory-las-Bloux
RANDONNEE DE SAINT-FELIX EN GARDIOLE;43,48715300;3,72673827;chemin de la Carrierasse;34770;Gigean
RANDONNEE AUTOUR DE L'ABBAYE;43,48715300;3,72673827;chemin de la Carrierasse;34770;Gigean
Le sentier des Colverts;47,96218896;6,83543732;Square du Saulcy 4 Passage Perrin;88310;Cornimont
GRANDE TRAVERSÉE VTT DE L'HÉRAULT SUR PASSA MERIDIA - INTÉGRALE SUD DE LUNEL AU MINERVOIS;43,66626610;4,12766650;Avenue Louis Médard;34400;Lunel
PASSA MERIDIA N° 1 - LUNEL / ENTRE-VIGNES;43,68965470;4,13672285;Avenue Louis Médard;34400;Lunel
PASSA MERIDIA À VTT - BRANCHE EST DE LUNEL À BÉDARIEUX;43,68965470;4,13672285;Avenue Louis Médard;34400;Lunel
GRANDE TRAVERSÉE VTT DE L'HÉRAULT SUR PASSA MERIDIA - INTÉGRALE NORD DE LUNEL À LA SALVETAT;43,68965470;4,13672285;Avenue Louis Médard;34400;Lunel
GR 653 D'Oloron-Sainte-Marie à Bedous en écomobilité;43,19472820;-0,61220720;gare d'Oloron Ste Marie;64400;Oloron-Sainte-Marie
GR 653 D'Oloron-Sainte-Marie à Bedous en écomobilité;43,19472820;-0,61220720;gare d'Oloron Ste Marie;64400;Oloron-Sainte-Marie
RANDONNEE DU MONT LIAUSSON;43,64372990;3,37194418;D156E2;34800;Liausson
Circuit du Sickertkopf;48,64892446;7,25288380;Ancien camping de Dabo Lat. 48,6489244584416 Long. 7,25288379774474;57850;Dabo
LES COLLINES;43,65784800;0,03539400;Place de la Libération Coeur Sud-Ouest Tourisme;32400;Riscle
Circuit de neufchâteau;48,36050845;5,70424617;580 rue du Stand;88300;Neufchâteau
Circuit de l'église de rollainville;48,36049419;5,70426763;580 rue du Stand;88300;Neufchâteau
Circuit de la pelouse calcaire de rollainville;48,36052271;5,70426763;580 rue du Stand;88300;Neufchâteau
Circuit des deux lacs;48,45385440;6,91992230;Barrage du lac du Vieux-Pré;54540;Pierre-Percée
Balade randoland a Saint-Die-des-Vosges;48,28518560;6,94998980;2 Place Jules Ferry La Boussole;88100;Saint-Dié-des-Vosges
Balade à Roulettes n°49 Le parc de Liben à Serres-Castet;43,37948000;-0,37733000;13 Chemin de Liben;64121;Serres-Castet
Balade à Roulettes n°49 Le parc de Liben à Serres-Castet;43,37948000;-0,37733000;13 Chemin de Liben;64121;Serres-Castet
Balade à Roulettes n°49 Le parc de Liben à Serres-Castet;43,37948000;-0,37733000;13 Chemin de Liben;64121;Serres-Castet
Balade à Roulettes n°49 Le parc de Liben à Serres-Castet;43,37948000;-0,37733000;13 Chemin de Liben;64121;Serres-Castet
RANDONNEE DU SENTIER DES GARRIGUES;43,60625960;3,43114450;Place Jean Moulin;34800;Nébian
RANDONNEE LE CHEMIN D'HANNIBAL;43,55144150;3,48518074;centre village;34230;Bélarga
RANDONNEE DE ROUVIEGE A DARDAILLON;43,55149380;3,48525046;centre village;34230;Bélarga
RANDONNEE BALADE MEDIEVALE;43,57336830;3,36357081;Route de Roujan;34800;Cabrières
OENORANDO® DES DRAILLES DES CROZES;43,57340130;3,36366468;Route de Roujan;34800;Cabrières
TRAIL DE L'ESTABEL;43,57340130;3,36366468;Route de Roujan;34800;Cabrières
Circuit St Antoine Bouzey;48,15206440;6,36422370;Camping à la ferme;88390;Sanchey
Circuit tour du lac de Bouzey;48,15206440;6,36422370;Camping à la ferme;88390;Sanchey
Circuit pédestre 10 le parc thermal - 6.2 km;48,20658777;5,94219831;Parc Thermal;88800;Vittel
Circuit pédestre 14 bois des seize mutins - 6.1 km;48,20246695;5,94221158;Parc Thermal;88800;Vittel
Circuit pédestre 17 haies et vergers - 12 km;48,20244549;5,94212575;Parc Thermal;88800;Vittel
Circuit pédestre 13 de sources en vignes - 19.7 km;48,20248125;5,94229741;Parc Thermal;88800;Vittel
Circuit pédestre 15 de Sainte-Anne - 6.5 km;48,20248125;5,94217939;Parc Thermal;88800;Vittel
Circuit pédestre 16 forêt parc - 5.4 km;48,20240974;5,94224376;Parc Thermal;88800;Vittel
Circuit du Bambois;48,12078189;6,43597122;RD434 500m avant Dounoux;88220;Dounoux
Circuit d'Agemont;48,13511475;6,29618290;rue du barbonfoing;88390;Girancourt
Circuit de Girancourt;48,15206440;6,36422370;Camping à la ferme LAC DE BOUZEY;88390;Sanchey
Circuit source de l'Avière;48,14095302;6,38434697;intersection avec cense des lois route de l'avière;88390;Renauvoid
Jeu de piste - découvrez Dompaire avec Alex;48,21955616;6,22529040;rue de la Gare Salle polyvalente;88270;Dompaire
Circuit Istres A Travers Son Histoire;43,51469400;4,98756700;30 Allée Jean Jaurès;13800;Istres
Parcours Cyclotourisme pour découvrir Istres;43,51453800;4,98746100;30 Allée Jean Jaurès;13800;Istres
Balade Sonore Moyenâgeuse;43,51453800;4,98746100;30 Allée Jean Jaurès;13800;Istres
Balade sonore : Expédition Pamparigouste, cap sur Istres;43,50292800;4,99334000;30 Allée Jean Jaurès;13800;Istres
La Capelière - Maison de la Réserve et du Vaccarès;43,53494500;4,64396700;C134 de Fiélouse;13200;Arles
La Capelière - Maison de la Réserve et du Vaccarès;43,53494500;4,64396700;C134 de Fiélouse;13200;Arles
Voie verte des berges de L'isle;45,20330440;0,80340926;pont de Charrieras;24330;Bassillac et Auberoche
Voie verte des berges de L'isle;45,20330440;0,80340926;pont de Charrieras;24330;Bassillac et Auberoche
Voie verte des berges de L'isle;45,20330440;0,80340926;pont de Charrieras;24330;Bassillac et Auberoche
Sentier des trois villages aux deux clochers : fermeture temporaire;48,37716000;6,18496000;Le Moulin d'en Bas;88130;Xaronval
RANDONNEE DES GORGES DE COLOMBIERES;43,57931730;3,00618910;Chemin de l'Eglise;34390;Colombières-sur-Orb
OENORANDO® LA THONGUE ET SES COTEAUX;43,45138290;3,29442925;Boulevard Louis Pasteur;34290;Abeilhan
RANDONNEE DE VILLENEUVETTE;43,61047680;3,40161480;Allées des Platanes;34800;Villeneuvette
RANDONNÉE AIGUES-VIVES PAGUIGNAN;43,35606870;2,82876530;Parking place de l'Eglise;34210;Aigues-Vives
RANDONNEE LE VISSOU SE RACONTE;43,57327490;3,36358013;Cave de l'Estabel;34800;Cabrières
RANDONNÉE AUTOUR DE LA SOURCE DE MALIBERT;43,43570510;2,90992218;rue des cèdres;34360;Babeau-Bouldoux
OENORANDO® LE MAS BLANC;43,49004780;2,95746329;1 Avenue des Mimosas;34360;Berlou
Balade à Roulettes n° 16 Le lac Marion à Biarritz;43,46697210;-1,54840700;Parc municipal du lac Marion 2 rue de Pelletier;64200;Biarritz
Vélovitamine - livraison vélo /dépôt canal;47,26807960;4,53741862;Port du canal  à Pouilly en Auxois Port du canal  à Vandenesse en auxois;21320;Pouilly-en-Auxois
Balade à roulettes : Parc Favols;44,89699760;-0,50154300;Rue Jean Raymond Guyon;33560;Carbon-Blanc
Balade à roulettes : Village d'Arsac;44,99013090;-0,69499460;Avenue de Soubeyran;33460;Arsac
Balade à roulettes : Château Beauval - IMPRATICABLE;44,91299820;-0,50545730;Rue Charles Péguy;33530;Bassens
Balade à roulettes : Le parc de Cantefrêne;45,00207820;-0,52982550;Rue des Frères Deves;33810;Ambès
Balade à roulettes : Parc Arboudeau;44,94281290;-0,60741450;Rue de Bordeaux;33290;Parempuyre
Balade à roulettes : Le parc des étangs;44,83275410;-0,53648700;Rue Georges Litalien;33270;Floirac
Balade à roulettes : Parc des étangs de Floirac;44,83267740;-0,53656360;Rue Georges Litalien;33270;Floirac
Balade à roulettes : Le lac de Cadarsac;44,86595140;-0,28792720;Avenue des Bergères;33750;Cadarsac
Balade à roulettes : Bègles Mussonville;44,79415810;-0,55949250;Rue Alexis Labro;33130;Bègles
Anjou Sport Nature, La Jaille-Yvon - Location de vélos;47,71930900;-0,67245800;Route de la Mayenne;49220;La Jaille-Yvon
Balade à Roulettes n°23 Les jardins des thermes à Cambo-les-Bains;43,36055650;-1,39990530;Thermes de Cambo-les-Bains 5 avenue des Thermes parking visiteurs Thermes de Cambo-les-Bains;64250;Cambo-les-Bains
6 - D'Orange à Sérignan-du-Comtat;44,13683600;4,80446400;Orange;84100;Orange
Boucle de l'observatoire;45,41385300;0,94485052;le bourg;24800;Nantheuil
Boucle de l'observatoire;45,41385300;0,94485052;le bourg;24800;Nantheuil
Cycl'Auto Vandroux;46,55828570;4,91560870;8, rue de Saône;71700;Tournus
Conchez-de-Béarn : entre architecture et vignoble;43,54471050;-0,16938320;place du fronton;64330;Conchez-de-Béarn
Conchez-de-Béarn : entre architecture et vignoble;43,54471050;-0,16938320;place du fronton;64330;Conchez-de-Béarn
Conchez-de-Béarn : entre architecture et vignoble;43,54471050;-0,16938320;place du fronton;64330;Conchez-de-Béarn
Conchez-de-Béarn : entre architecture et vignoble;43,54471050;-0,16938320;place du fronton;64330;Conchez-de-Béarn
Circuit de l'Eselbahn;48,78599147;7,25407380;2 Rue de l'Eglise;57370;Vilsberg
Balade poussette - La Perle des Vosges;48,07221500;6,87263400;Office de Tourisme 4 Place des Déportés;88400;Gérardmer
Balade poussette - les rives du lac;48,07221500;6,87263400;Office de Tourisme 4 Place des Déportés;88400;Gérardmer
Balade poussette - les perles de la vologne;48,08381960;6,90918780;Le Petit Xonrupt;88400;Xonrupt-Longemer
Balade poussette - l'estuaire st jacques;48,08134290;6,92569000;Bureau d'Information Touristique Place 22 Octobre 1919;88400;Xonrupt-Longemer
La voie verte des hautes Vosges;47,88417769;6,85536256;rue des Sagards;88540;Bussang
Les coteaux du pays messin;49,18095633;6,11136854;Salle Albert Bourson;57140;Norroy-le-Veneur
Sentier du patrimoine;49,18072697;6,11152052;Salle Albert Bourson;57140;Norroy-le-Veneur
Circuit Pédestre 02 - Entre Lacs - 11.2 km;48,20699456;5,83925026;LAC DES RECOLLETS;88140;Bulgnéville
Circuit Pédestre 04 - Circuit Long des 2 Lacs - 13.1 km;48,20702316;5,83933609;LAC DES RECOLLETS;88140;Bulgnéville
