FID;osm_id;amenity;name;short_name;official_name;alt_name;old_name;operator;operator-type;emergency;contact-email;addr-housename;addr-housenumber;addr-street;addr-city;addr-postcode;osm_version;osm_timestamp;healthcare-speciality;the_geom;osm_original_geom
hospitals_point.207419099;207419099;hospital;Hôpital Gériatrique Le Kem;;;;;;;;;;129;Route de Guentrange;Thionville;57100;8;2023-09-19T10:36:45Z;;POINT (684166.8673253753 6336714.753580953);"SRID=3857;POLYGON((684006.1511390767 6336686.949745468,684039.2241597914 6336659.293578355,684066.6310184246 6336634.081762412,684073.1098127889 6336628.577904849,684107.7747022217 6336596.118892734,684125.3520498181 6336579.658683307,684167.3417617453 6336542.003725222,684175.6127999113 6336548.567264561,684186.2215473839 6336552.549831293,684193.8914602995 6336577.470828201,684203.9770061654 6336600.614261868,684213.9512325405 6336622.527084238,684224.6045078094 6336639.995849395,684255.0837843886 6336681.719338531,684319.1036235437 6336732.416818724,684331.905364985 6336748.484189139,684325.5712859589 6336752.449757626,684243.4731614989 6336823.539727383,684177.4273076112 6336878.870326753,684165.7387610779 6336865.024822863,684006.1511390767 6336686.949745468))"
hospitals_point.120911677;120911677;hospital;Centre Hospitalier de Remiremont;;;;;C.H.R.U. de Nancy;public;yes;;;1;Rue Georges Lang;Remiremont;88200;13;2021-09-05T19:13:18Z;"emergency;gynaecology;radiology;maternity;neurology;surgery;cardiology;geriatrics";POINT (733942.4733064761 6109079.662888122);"SRID=3857;POLYGON((733662.6367723156 6109171.58838645,733713.8548700297 6109158.724958201,733752.9725390944 6109141.801175765,733785.9676361656 6109119.3193885805,733797.9790092222 6109085.0726342555,733821.4228939832 6109036.598234602,733916.2448362409 6108935.556699963,734009.9647155397 6108883.605306849,734073.8175754588 6108890.111694074,734113.0354320653 6108952.297030091,734125.4586872378 6108972.748233189,734139.6296584157 6108996.061665736,734087.2983657939 6109017.361645206,734129.4105291609 6109081.761123471,734065.6912526308 6109126.058926298,734067.1050101639 6109128.288799206,734071.2906230178 6109134.712167676,734079.9067516051 6109156.145618505,734064.3442867922 6109161.3542214,734081.3650369346 6109209.263531749,734048.9933290118 6109214.738423077,734049.4720028223 6109221.594522921,734034.844621732 6109224.356933628,734031.2156063322 6109223.025651251,734025.3490691674 6109215.686960837,734019.549323697 6109215.836729966,734002.9070598234 6109216.252755339,733994.836396741 6109216.452447526,733986.2425320518 6109225.987754827,733952.2010317671 6109223.890984773,733946.9022240054 6109213.706680373,733862.2326193079 6109209.479864776,733859.3494444964 6109218.948600246,733845.946577805 6109219.048446369,733774.2011659887 6109218.798831063,733732.6233361773 6109219.164933515,733679.802237796 6109218.282959447,733677.3532089985 6109216.568934637,733675.0154996918 6109213.939654521,733666.7444615259 6109185.616700816,733662.6367723156 6109171.58838645))"
hospitals_point.579916181;579916181;hospital;Centre hospitalier de la Risle;CH de la Risle;;;;;public;yes;;;64;Route de Lisieux;Pont-Audemer;27500;3;2023-11-07T18:47:43Z;;POINT (57313.91055728368 6334177.951596312);"SRID=3857;POLYGON((57089.51067248743 6334109.761926963,57091.692534506976 6334101.371920171,57094.19722304982 6334096.980412823,57096.646251847276 6334093.289497922,57101.12129537717 6334090.059948705,57109.84874345537 6334086.881663388,57109.81534760813 6334085.0532955,57181.26019679925 6334064.360299716,57231.610002485046 6334047.32407304,57289.09538753069 6334023.145335172,57353.24881007486 6333992.866476699,57435.6697610582 6333955.376889946,57480.21982127366 6334037.806356616,57495.058709396406 6334073.963483829,57504.38728272489 6334104.994488268,57510.28721573693 6334136.777463975,57456.41971414207 6334145.06498008,57467.46260762876 6334166.390419904,57471.08049107954 6334181.90607839,57428.500785851116 6334194.687721649,57431.84037057491 6334207.554823326,57456.79820041076 6334303.349561955,57433.28752395521 6334339.422390941,57413.116432223476 6334370.539815898,57393.60212548742 6334400.239036214,57377.327215933445 6334423.273946773,57362.811154334 6334428.502948613,57349.29696815169 6334433.356012056,57335.025809431994 6334425.785917838,57307.084617242894 6334343.7969368575,57202.288448610096 6334336.842093436,57150.13526717345 6334197.883135499,57095.31041795776 6334211.587544508,57091.50329137263 6334188.365248621,57089.51067248743 6334109.761926963))"
hospitals_point.7374688996;7374688996;hospital;La Chênaie;;;;;personnel medical et personnes agées;private;;;;8;Rue de Limoges;Verneuil-sur-Vienne;87430;4;2020-05-09T10:30:06Z;community;POINT (125972.13027597072 5756081.662940474);
hospitals_point.788492908;788492908;hospital;Clinique Sainte-Elizabeth;;;;;;;;;;2;Avenue Julien Absalon;Yutz;57970;2;2021-10-08T15:59:34Z;;POINT (690028.7994320691 6334404.664574787);"SRID=3857;POLYGON((689870.0055041541 6334418.796830137,690118.8713577716 6334269.65210882,690135.8921079139 6334291.746823239,690165.7479953446 6334334.142180341,690180.3865083839 6334372.060659495,690184.8615519138 6334388.482370284,689965.9963010652 6334525.838164869,689954.062851652 6334533.305818423,689945.2463479813 6334538.2272962425,689936.8862542227 6334538.671596468,689931.6653701045 6334535.834910829,689927.0344792875 6334528.521051079,689901.3530727614 6334478.21280501,689884.9334478695 6334450.5980805345,689870.0055041541 6334418.796830137))"
hospitals_point.9517203932;9517203932;hospital;Maison de santé de Port La Nouvelle;;;;;;;yes;;;90;Rue des Statices;Port La Nouvelle;11210;3;2023-02-18T19:18:13Z;general;POINT (338667.19778478355 5312992.182857424);
hospitals_point.724348451;724348451;hospital;Centre Rééducation Moteur Cérébral;;;;;;;no;;;2;Rue Robert Lecomte;Fagnières;51510;2;2020-04-06T08:44:13Z;;POINT (481856.6909095427 6266827.300332777);"SRID=3857;POLYGON((481738.0018466011 6266852.383287662,481872.1640969052 6266707.971788422,481972.93049997126 6266802.0364702,481970.9267491368 6266810.308923334,481839.58088195 6266945.500262075,481738.0018466011 6266852.383287662))"
hospitals_point.40593554;40593554;hospital;Clinique Sainte-Marie;;;;;Vivalto Santé;private;yes;;;1;Rue Christian Barnard;Osny;95520;7;2022-01-13T15:38:43Z;;POINT (231100.979720478 6287442.113339237);"SRID=3857;POLYGON((230952.56606186854 6287435.108900158,230964.04310136935 6287425.813632602,231016.20741475507 6287383.585717814,231074.50543208348 6287314.237234368,231110.7287943876 6287271.143242022,231210.5823776292 6287384.231454962,231247.16196230386 6287425.64370093,231226.81275938687 6287450.181869487,231093.48540526378 6287614.269960066,231069.3402077107 6287594.132631438,231066.39024120467 6287591.668573427,230952.56606186854 6287435.108900158))"
hospitals_point.11573437623;11573437623;hospital;Marie-France GAULON | Les Trois Corps | Thérapies complémentaires;;;;;Praticienne & Enseignante Reiki Usui;private;;;;3;Chemin des Mercières;Villechétif;10410;1;2024-01-31T15:55:09Z;reiki;POINT (460789.8332774284 6157309.856122622);
hospitals_point.613554438;613554438;hospital;Centre hospitalier d'Is-sur-Tille;;;;;;public;no;;;;;Is-sur-Tille;21120;5;2024-09-21T17:10:22Z;general;POINT (568252.7005404591 6027197.424854837);"SRID=3857;POLYGON((567997.8054699469 6027096.970399011,568037.5242642619 6027066.114030642,568060.1443847911 6027048.559575334,568094.2526767702 6027024.675683497,568176.5845721608 6027080.141137445,568192.8594817148 6027091.333169648,568234.437311526 6027122.090728914,568252.9163469978 6027137.024502926,568288.5051882043 6027163.776791708,568314.7097963372 6027183.177609896,568324.238744749 6027190.611579798,568348.4173381493 6027205.545472132,568374.6998699256 6027220.479390253,568424.1145918887 6027247.182486938,568444.7198296346 6027259.528576178,568479.5850941511 6027277.066976243,568496.1716982793 6027284.979048064,568499.8452414755 6027287.451571994,568528.9330244197 6027302.566950317,568543.4824818665 6027313.001027318,568548.3248797159 6027316.907628107,568492.7987177082 6027388.644341144,568485.5629508067 6027382.875052238,568481.3662060037 6027378.836552291,568475.3215576537 6027375.63872102,568461.0615308831 6027365.995783366,568455.3174451581 6027362.48476771,568422.2444244435 6027342.407719653,568384.4737212174 6027322.528520946,568366.2618525235 6027314.220809652,568278.4196423385 6027263.534053509,568274.8351547349 6027260.880218527,568261.5992672797 6027249.078080268,568250.8903322654 6027240.671539095,568220.7672780568 6027218.056335562,568182.5401649183 6027200.715855123,568169.0482426342 6027198.869722371,568167.1112834944 6027199.2488388885,568163.7160390252 6027199.644438746,568159.7530651529 6027199.726855387,568155.7566954335 6027198.3752225945,568142.2759050984 6027194.435708714,568130.153212551 6027191.27091225,568086.7497430907 6027181.72707993,568067.7363740632 6027172.282157791,568060.2111764855 6027169.183302515,568031.7467826897 6027159.046097529,568020.6927572539 6027153.754975743,568016.4960124511 6027151.167107388,568011.7538021433 6027146.5188362375,568010.2064612212 6027144.491399605,568008.1804464888 6027141.392554284,568006.532918025 6027138.178327601,568005.1748202374 6027134.667404433,568002.6701316945 6027124.365408061,567997.8054699469 6027096.970399011))"
hospitals_point.345317060;345317060;hospital;Clinique de l'Oseraie;;;;;Clinéa;;;;;4;Rue Alexander Fleming;Osny;95520;3;2024-03-13T12:26:27Z;;POINT (230953.16569665368 6287691.2657962125);"SRID=3857;POLYGON((230892.89881480337 6287700.240749777,230910.67653748306 6287687.478476004,230912.19048255787 6287689.517719516,230919.1479507324 6287684.368630587,230925.80485628184 6287693.7661450915,230946.8442400418 6287678.40384833,230937.35981942617 6287665.420690119,230939.50828559848 6287663.857274509,230936.20209672197 6287659.336965789,230960.64785690018 6287641.493665518,231007.60241811673 6287704.965005154,230999.1087409692 6287711.2017060425,231000.4668387569 6287713.121999072,230981.97667133613 6287726.53007495,230959.83522461736 6287696.213239198,230929.7010384596 6287718.220124271,230928.59897550076 6287716.724673892,230918.3353184496 6287724.218922198,230917.50042226867 6287723.0803398285,230914.99573372584 6287724.915666713,230916.9215609165 6287727.566695137,230914.07178195223 6287729.639935893,230911.29992663147 6287725.850324075,230907.96034190772 6287728.297427476,230896.02689249467 6287711.949430708,230898.03064332894 6287710.487968921,230903.69680541035 6287706.324503591,230901.41475584905 6287703.214651234,230897.2959346897 6287706.239534932,230892.89881480337 6287700.240749777))"
hospitals_point.445650784;445650784;hospital;Centre hospitalier d'Argenteuil;;;Hôpital Victor Dupouy;;;public;yes;;;69;Rue du Lieutenant-Colonel Prudhon;Argenteuil;;9;2024-12-21T18:08:52Z;intensive;POINT (249022.87567374864 6265451.749252306);"SRID=3857;POLYGON((248682.57720780035 6265556.344844647,248704.81884206083 6265503.649811132,248700.48851386897 6265499.768459474,248745.02744213535 6265373.27804806,248757.37277366433 6265338.227844002,248768.11510452593 6265302.838810468,248777.22103887278 6265276.568311409,248815.96022166888 6265206.94340922,248830.721186148 6265179.012256078,248862.80346339464 6265118.302992532,248870.86299452808 6265102.913890537,248879.33440777747 6265089.5077683395,248957.74785709227 6265131.573573231,249068.57754212606 6265191.011793578,249083.90623600825 6265199.231825559,249103.22016766088 6265209.451793991,249127.69932368633 6265222.332700481,249128.0889419041 6265229.70533342,249155.94107850056 6265230.857837536,249178.4276156408 6265242.755756898,249201.40395854056 6265255.196049458,249170.18997332215 6265305.482813603,249209.040475609 6265328.75346658,249236.48073008953 6265337.31260851,249255.7056061495 6265282.991864611,249272.26994637956 6265291.940780635,249288.70070322065 6265288.669679549,249296.45967172895 6265286.127373878,249309.15009367937 6265271.043042633,249314.37097779757 6265268.517690933,249322.430508931 6265270.754915221,249404.17241102053 6265319.87230669,249408.94801717557 6265325.990814698,249414.62531120604 6265324.939990291,249472.8454048909 6265359.871497341,249473.29068285404 6265367.48153427,249427.76101111958 6265419.8875869615,249425.2785864749 6265422.938402103,249384.76942377526 6265472.582098633,249375.7191491738 6265481.514266153,249288.97900194762 6265416.565589504,249282.1105893657 6265424.480759061,249239.70899532252 6265391.040489324,249180.58721376222 6265479.412578829,249244.11724715793 6265524.954904161,249203.29638988408 6265578.14159972,249260.9264902677 6265612.921608263,249243.1598995371 6265623.820051679,249236.2914869552 6265635.616827403,249211.95704626775 6265657.566331771,249207.0367247747 6265679.5158931045,249185.8303617786 6265704.1435382245,249170.312424762 6265733.551040472,249153.88166792094 6265772.0606159065,249148.2377697377 6265787.349237166,249141.7923712207 6265804.756603449,249136.41563981544 6265813.875569115,249131.49531832238 6265816.706179419,249121.18713347492 6265819.096096638,249114.4745681801 6265818.0452109715,249112.18138666972 6265817.163823088,249087.26808463022 6265807.604160443,249000.93981952 6265774.46747019,248996.48703988828 6265772.755552635,248943.38764277988 6265752.365115722,248866.79983311414 6265723.398237078,248863.1930816124 6265709.770787228,248887.68336958694 6265648.261090921,248682.57720780035 6265556.344844647))"
hospitals_point.180164137;180164137;hospital;Hôpital Saint-Jacques;;;;;;public;no;;;1;Rue Saint-Jacques;Thann;68800;8;2025-01-31T13:32:54Z;;POINT (789871.1636046125 6075856.414546262);"SRID=3857;POLYGON((789709.7739969131 6075938.459755916,789753.9344389107 6075892.011955965,789728.4868033155 6075856.189965946,789776.3653163055 6075816.008512697,789851.6506879291 6075763.759642788,789909.3698439054 6075726.081641218,789919.8227440908 6075726.4628960155,789933.9937152689 6075728.783577767,789966.6548538676 6075750.548287786,789995.7426368119 6075776.9047125,790009.4349341794 6075789.171252152,790042.3075798106 6075822.639102622,790056.3338356507 6075838.386774162,790012.596407718 6075874.639681199,789969.4378411374 6075909.848411957,789960.3207748414 6075897.531970462,789953.8976402228 6075888.91212956,789947.8195960254 6075880.73986529,789935.1848338203 6075890.039339032,789933.8378679818 6075887.967262906,789912.7984842217 6075902.604419332,789912.0637755826 6075902.339193173,789902.4123757308 6075909.135616075,789898.1265753352 6075912.135989839,789877.8552960617 6075926.3587703295,789870.1408553498 6075931.762770012,789860.4560596509 6075938.509486034,789856.827044251 6075941.029145459,789854.5561266388 6075942.603932974,789849.5912773494 6075946.499461226,789837.9138627651 6075954.174485879,789833.2273122027 6075957.4898334155,789823.297613624 6075964.418913894,789763.7305541005 6076005.960360228,789756.9511971113 6076010.701336121,789732.6056244747 6075973.287481975,789709.7739969131 6075938.459755916))"
hospitals_point.209056264;209056264;hospital;Centre Hospitalier Spécialisé de Sarreguemines;;;;;;public;no;;;1;Rue Calmette;Sarreguemines;57200;13;2025-02-13T15:03:58Z;;POINT (789299.810435253 6291715.075788281);"SRID=3857;POLYGON((788440.6650101753 6291722.915881371,788756.9904752134 6291309.01669605,789396.264914992 6291035.50924525,789434.3361808433 6291147.848875813,789571.5263212968 6291341.8626673715,789770.2872721083 6291540.692329709,789790.8479820577 6291479.7423371645,790137.207445712 6291783.102542914,790176.5922815546 6291822.173097054,790081.5588322644 6291931.445794472,789948.0199711088 6292077.751349347,789896.6682900059 6292026.845909781,789890.8128847901 6292034.548015687,789866.51183995 6292066.563688003,789707.670058537 6292240.926266127,789603.7533138816 6292334.391532168,788830.606054475 6292031.53858274,788440.6650101753 6291722.915881371))"
hospitals_point.621718755;621718755;hospital;Centre Hospitalier de l'Arrondissement de Montreuil-sur-Mer;CHAM;;;;;public;yes;;;140;Route Départementale;Rang-du-Fliers;62180;10;2024-08-25T02:40:20Z;intensive;POINT (185060.51947411528 6518369.545204426);"SRID=3857;POLYGON((184741.0290504636 6518039.584965392,184856.1000080966 6517995.983438281,184897.8002893478 6518026.850361009,185153.17833317665 6518193.257723948,185310.22787078778 6518278.663767871,185473.55582767967 6518360.472019895,185475.6486341066 6518384.352565398,185408.0109115006 6518449.897767161,185398.1591365654 6518473.341832643,185301.26665177892 6518559.170039874,185225.7252453266 6518594.56373443,185178.25861445238 6518626.655778851,185129.58973307753 6518634.5696227625,185100.323838948 6518639.950342148,185075.24355767228 6518665.631096503,185055.840570427 6518675.78113091,185034.93477005602 6518675.484141775,185016.4223387371 6518679.956449884,184996.71878886668 6518691.905909966,184880.86859479814 6518681.441396467,184861.9220174651 6518572.534373684,184824.25150178067 6518314.3532389775,184812.78559422898 6518249.8397846045,184783.08555408532 6518152.502808468,184741.0290504636 6518039.584965392))"
hospitals_point.937742982;937742982;hospital;Clinique Terre de France;;;;;;;;;;4;Rue des Montépillois;Cormontreuil;51350;2;2022-04-11T07:14:30Z;;POINT (448971.1697807184 6311376.958156565);"SRID=3857;POLYGON((448867.84977194114 6311329.730597856,448912.72265867994 6311314.393346786,449011.07342879573 6311271.87522455,449076.06174752093 6311417.255711677,449035.67503626103 6311435.609516197,448929.57642958604 6311483.854479972,448867.84977194114 6311329.730597856))"
